ID,Category,Pos_b,Pos_e,Privacy
21,position,72,82,国家一级演员青年歌唱家
21,name,83,84,马渲
22,game,2,7,《魔兽世界》
22,name,23,25,雅各布
22,organization,40,43,ac米兰
22,organization,59,60,意甲
22,name,79,83,贝鲁斯科尼
22,position,85,86,画家
22,address,92,93,北京
22,address,106,107,北京
22,position,120,122,艺术家
23,name,15,17,陆俨少
23,book,25,30,《雁荡瀑布》
23,government,70,75,最高人民法院
23,government,80,82,最高法
23,position,103,104,记者
23,position,129,130,主角
23,name,131,132,米勒
23,government,139,140,日军
23,book,170,170,阳
23,position,174,175,记者
23,name,176,177,宁彪
23,position,179,180,摄影
23,address,185,186,泗水
23,government,203,214,泗水县文化市场综合执法局
23,name,215,216,颜鲲
23,game,232,236,dota2
23,company,245,251,twitter
23,game,255,259,dota2
23,company,303,306,银都机构
23,movie,310,315,《十分钟情》
23,scene,332,334,仙本那
23,scene,355,356,亚庇
23,address,373,374,纽约
23,address,376,377,东京
23,address,379,380,香港
23,address,385,386,北京
23,address,405,408,乐成中心
23,scene,418,420,马久邑
23,address,427,434,马久邑-富美邑-
23,scene,438,448,古生-海舌-沙村-喜洲
23,movie,450,459,《波斯王子：时之沙》
23,address,461,463,好莱坞
23,name,468,472,杰瑞布凯默
23,movie,474,479,《神鬼奇航》
23,movie,481,486,《国家宝藏》
23,game,497,500,dota
24,organization,0,7,中国国际象棋协会
24,game,8,8,(
24,game,9,11,cca
24,organization,55,62,中国国际象棋协会
24,position,63,65,常青藤
25,position,3,4,贤师
25,organization,71,76,国家行政学院
25,position,83,85,副处长
25,position,89,91,培训师
26,position,0,4,80后作家
26,position,6,12,广东省作协会员
26,movie,17,25,《假如不曾说再见》
26,movie,39,45,《六月的青橙》
26,book,61,69,《尼姑庵里的爱情》
26,position,72,73,作家
26,book,75,81,《六月的青橙》
26,position,82,83,作者
27,company,71,80,上海泓盛拍卖有限公司
27,position,81,96,业务副总监瓷器工艺品部专家／经理
29,organization,5,6,拜仁
29,organization,17,18,拜仁
29,position,41,53,中国传统文化促进会副秘书长
29,position,55,65,中国风水策划院执行院长
29,position,67,76,中华周易研究会副会长
29,position,78,80,秘书长
29,position,86,87,记者
29,name,88,89,马力
29,position,106,108,大学生
29,movie,124,131,《水晶骷髅王国》
29,position,169,171,领军人
29,book,180,191,《sotokoto树下》
29,position,192,193,主编
29,name,194,197,小黑一三
29,book,199,205,《水知道答案》
29,scene,263,264,香山
29,scene,266,268,八达岭
30,movie,3,10,《那些年那些事》
30,movie,11,16,《完美丈夫》
30,name,17,19,钟汉良
30,movie,21,27,《天涯明月刀》
30,movie,28,32,《胜利者》
30,name,33,35,吴奇隆
30,movie,37,44,《新白发魔女传》
30,position,46,49,制片主任
30,movie,54,62,《那些年，那些事》
30,movie,63,68,《完美丈夫》
30,movie,69,75,《天涯明月刀》
30,position,77,80,制片主任
30,name,81,82,李龙
31,position,58,59,作家
31,position,61,62,编剧
31,movie,67,74,《后宫·甄嬛传》
32,book,15,18,《號外》
32,position,21,22,主編
32,position,69,72,台湾作家
32,position,74,76,乐评人
33,position,33,37,篮球运动员
33,position,43,45,主持人
33,government,55,62,肇庆市公安局警察
33,position,68,69,民警
33,government,72,80,广东省肇庆市公安局
33,name,81,83,彭家祥
35,company,83,98,河南华豫兄弟动画影视制作有限公司
35,position,99,102,执行导演
36,name,0,2,邵中革
36,government,8,16,灵宝公安局故县分局
36,position,17,23,主抓刑侦副局长
36,organization,31,38,洛阳人民警察学校
36,government,74,83,河南省三门峡市灵宝市
36,position,84,85,民警
36,name,86,88,郑新平
37,position,71,72,编辑
37,name,73,75,毛小莉
38,organization,13,16,砚峰书院
38,address,41,41,砚
38,position,65,71,正大集团副总裁
38,name,72,74,李闻海
39,game,1,2,魔兽
40,name,0,1,汪洋
40,position,3,6,旅美作家
40,position,8,15,中国作家协会会员
40,organization,39,42,美国国会
40,position,71,74,旅美作家
40,position,76,83,中国作家协会会员
40,position,85,97,北美洛杉矶华文作家协会理事
40,position,99,102,副秘书长
41,address,2,3,日本
41,QQ,43,51,150926713
41,position,66,67,成员
41,name,69,76,愛華siguma
42,organization,0,9,河北師範大學美術學院
42,position,13,14,主任
42,position,16,17,教授
42,position,19,26,中國美術家協會會
42,organization,29,42,北京大學賈又福藝術研究會理事
42,organization,44,49,中央美術学院
42,position,56,57,教师
42,organization,59,66,河北省國画研究院
42,position,67,69,研究員
42,name,71,73,白联晟
42,organization,75,87,河北师范大学美术学院国画系
42,position,88,89,主任
42,position,91,92,教授
43,mobile,71,79,124292373
43,company,86,92,cosplay
43,position,93,97,媒体策划人
44,company,41,50,北京华狮电影娱乐公司
44,position,66,69,首席执行
45,organization,0,4,coser
45,position,9,10,主持
45,QQ,39,45,2495304
45,position,81,83,主持人
46,movie,57,63,《山楂树之恋》
46,movie,64,68,《十三钗》
47,address,49,51,北京市
47,government,65,68,市住建委
47,name,74,76,徐志军
47,company,82,85,北京软星
47,game,105,109,《仙剑5》
47,government,123,124,央行
47,company,170,175,工行纽约分行
47,position,208,209,作家
47,book,230,233,《收获》
47,organization,249,252,乌迪内斯
47,organization,254,255,切沃
47,position,301,302,客服
47,company,319,322,乐成中心
47,position,323,326,项目主管
47,game,332,334,cia
47,name,339,342,卡斯特罗
47,movie,344,349,《黑色行动》
48,government,0,8,扬州市宝应县公安局
48,position,9,12,法制民警
48,government,57,68,扬州市宝应县公安局法制科
48,position,69,70,民警
48,name,71,71,乔
49,government,66,73,嘉兴市环境保护局
49,position,74,78,副处调研员
49,name,79,81,徐建平
50,government,4,8,英龙警务室
50,government,70,82,福建莆田市公安局镇海派出所
50,position,83,84,民警
50,name,85,87,卓壮杰
51,company,2,5,华润置地
51,company,18,26,北京）股份有限公司
51,position,27,30,营销经理
51,name,31,31,马
51,game,50,51,魔兽
51,company,62,68,招行信用卡中心
51,position,77,78,记者
51,company,80,81,招行
51,game,116,120,星际争霸2
52,movie,0,7,爱丽丝漫游仙境》
52,movie,8,11,《化身》
52,game,12,21,《电子世界争霸战2》
53,company,4,8,农村信用社
54,position,0,1,专家
54,company,10,13,银联商务
54,position,21,22,市委
54,position,23,24,常委
54,position,26,30,常务副市长
54,name,31,33,苏泽群
55,address,3,8,香港小姐亞軍
55,movie,33,36,竊聽風雲
55,name,40,41,志明
55,name,76,78,潘小姐
55,position,80,90,2005年香港小姐亚军
55,position,92,94,tvb
56,organization,3,9,长春市集邮协会
56,position,17,18,记者
57,organization,8,10,克拉科
57,government,41,47,莫斯科中央陆军
57,name,49,50,王诚
57,company,75,78,富龙集团
57,position,79,81,董事长
57,name,82,83,王诚
57,address,106,112,中原万达二号门
57,address,114,122,中原路华山路交叉口
57,game,135,142,斯巴达三百勇士》
57,scene,157,159,泸沽湖
57,scene,189,191,泸沽湖
57,book,238,243,三联生活周刊
57,company,245,246,立博
57,organization,260,261,意甲
57,organization,275,277,锡耶纳
57,organization,287,289,帕尔马
58,game,0,3,暗黑之父
58,game,5,12,《暗黑破坏神3》
58,company,43,46,花旗银行
58,company,55,58,中国银行
59,book,37,42,《半步天涯》
59,movie,44,48,《去爱吧》
59,position,52,53,作家
59,book,60,65,《半步天涯》
59,movie,67,71,《去爱吧》
59,movie,73,78,《临界爱情》
60,QQ,48,56,408815097
60,organization,58,65,四川省摄影家协会
60,company,69,78,景谷文化传播有限公司
60,position,80,89,中国摄影旅游网负责人
60,name,90,92,易永成
61,company,0,9,上海实业城市开发集团
61,name,27,30,ccim
61,company,50,59,上海实业城市开发集团
61,position,68,71,副总经理
61,name,72,73,郑瀛
62,movie,51,56,《生化危机》
62,movie,62,68,《生化危机4》
62,scene,85,87,巴厘岛
62,address,92,93,北京
62,address,95,96,上海
62,address,98,99,广州
62,address,101,102,成都
62,scene,110,112,登巴萨
62,company,144,149,北京首创期货
62,position,154,155,经理
62,name,156,157,黄晓
62,game,187,191,《英雄连》
62,book,204,210,《洛杉矶时报》
62,book,212,226,losangelestimes
62,game,249,253,星际争霸2
62,company,271,272,美联
62,position,280,281,总监
62,name,282,284,张大伟
62,name,311,313,金石开
62,organization,316,317,欧冠
62,address,345,359,杭州市建设工程质量安全监督总站
63,position,33,35,主持人
63,position,73,78,台灣知名歌手
63,position,80,81,演員
63,position,83,84,主持
64,position,5,6,教主
64,book,61,66,《半盏孤灯〉
64,movie,67,71,《路之遥〉
65,organization,6,10,mic男团
65,name,14,15,尧尧
65,name,20,21,王浩
65,organization,84,87,mic男
66,government,70,84,河南省清丰县公安局韩村乡派出所
66,position,85,86,科员
67,name,0,1,梁涛
67,position,3,13,新疆维吾尔自治区文物局
67,position,22,31,新疆维吾尔自治区文物
67,position,38,39,主任
67,position,45,51,新疆文物局文物
67,position,55,56,处长
67,organization,58,67,新疆文物古迹保护中心
67,position,68,69,主任
67,name,73,74,梁涛
68,position,13,25,中国美协中国画艺委会副主任
68,position,27,36,中国美协河山画会会长
68,position,62,64,副院长
68,position,66,78,中国美协中国画艺委会副主任
68,position,80,89,中国美协河山画会会长
69,mobile,51,61,02-27627111
69,position,66,67,主持
70,position,0,6,清华大学副教授
70,position,8,17,arnetminer
70,position,20,22,创始人
70,position,54,60,清华大学副教授
70,position,62,74,arnetminer创始人
70,name,75,76,唐杰
71,movie,28,34,《中国兄弟连》
71,movie,35,40,《中国骑兵》
71,movie,41,46,《抗日奇侠》
71,name,58,59,水鸿
71,mobile,60,70,18610024429
71,position,72,73,演员
71,name,74,75,李嘉
72,company,58,63,翼图摄影机构
72,position,64,67,执行总监
72,position,82,89,摄影实战宝典作者
73,position,62,68,五指山市志愿者
73,position,70,81,共青团关爱农民工子女志愿
73,position,88,89,专员
74,address,1,2,韩国
74,name,11,14,moon
74,name,20,25,grubby
74,game,31,35,《阿凡龙》
75,position,0,1,法王
75,address,4,8,喜马拉雅山
75,address,21,22,印度
75,organization,79,84,嘉旺竹巴法王
76,company,0,12,营口瑞祥徳食品工业有限公司
76,position,13,15,董事长
76,company,16,28,营口立信房地产顾问有限公司
76,position,29,31,董事长
76,position,41,42,会长
76,position,48,57,青年创业国际计划导师
76,company,59,69,立信房地产顾问有限公司
76,position,70,72,董事长
77,movie,40,48,《黑帮有个好莱坞》
77,name,49,51,秦尊文
77,scene,95,97,世博园
77,scene,127,129,世博园
77,address,145,146,北京
77,scene,171,173,百子湾
77,scene,175,178,朝阳公园
77,scene,180,182,中关村
77,book,187,194,《电脑游戏攻略》
77,company,205,206,立博
77,company,221,224,snai
77,company,233,237,toto凯
77,organization,257,259,克卢日
77,organization,262,263,罗马
77,company,274,275,威廉
77,name,300,301,成钢
78,name,2,3,威威
78,name,12,13,莉莉
78,mobile,15,25,13146538056
78,movie,27,29,唐宮燕
78,movie,31,34,天天有喜
78,movie,36,39,深宮諜影
78,movie,41,44,女人天下
78,movie,46,49,末代皇帝
78,position,72,73,演员
78,name,74,76,陈威翰
78,position,78,81,知名艺人
78,movie,87,94,＜兔儿神弄姻缘＞
78,name,97,98,兔儿
79,book,10,14,《睿财经》
79,position,15,16,主编
79,mobile,67,75,110125679
80,position,2,5,动画编剧
80,movie,9,14,《欢乐之城》
80,movie,15,21,《神奇愿望岛》
80,movie,22,30,《小虫虫有大智慧》
80,movie,35,39,《彩之南》
80,position,59,60,编剧
80,name,61,62,郭延
80,movie,66,73,《憨八龟的故事》
80,movie,81,85,《彩之南》
81,organization,0,4,杭州304
81,position,15,19,摄影工作室
81,position,20,23,摄影总监
81,game,31,33,cos
81,company,72,76,楼兰工作室
81,address,78,78,杭
82,position,5,6,摄影
82,position,82,84,摄影师
82,name,85,86,张雨
83,scene,0,3,泗水古国
83,scene,5,8,杨树之乡
83,scene,10,13,运河新城
83,address,28,29,泗阳
83,mobile,60,70,13951193212
83,government,72,81,江苏省泗阳县招商局新
83,position,86,87,局长
84,name,2,4,柯英豪
84,address,8,11,美国南部
84,position,21,32,美国驻华大使馆新闻发言人
84,position,50,61,美国驻华大使馆新闻发言人
84,name,62,64,柯英豪
84,name,66,79,nolanbarkhouse
85,organization,0,1,三星
85,organization,2,15,wcg2011北京赛区dnf
85,movie,23,26,指环王》
86,position,65,66,宗长
86,name,67,68,星云
87,name,0,2,黄庭坚
87,name,7,9,赵孟頫
87,book,10,14,《洛神赋》
87,name,31,32,顶峰
87,name,39,40,张旭
87,address,50,51,国贸
87,name,56,56,星
87,government,63,77,美国航空航天局nasaapod
87,organization,100,103,宁夏大学
87,position,125,128,指导教师
87,position,135,138,项目专家
87,company,150,153,渣打银行
87,company,156,159,花旗银行
87,position,179,180,记者
87,game,202,203,魔兽
88,mobile,70,80,13651889566
89,position,0,9,香港電影美術學會會員
89,movie,13,20,狄仁杰之通天帝國
89,movie,25,45,蘭陵王絶愛之城烽火佳人少年四大名捕大漢情緣
89,name,46,49,陸貞傅奇
89,movie,50,53,古劍奇譚
89,position,55,64,香港电影美术学会会员
89,movie,68,77,《狄仁杰之通天帝国》
89,movie,79,84,《遍地狼烟》
89,movie,89,94,《宫锁珠帘》
89,position,95,97,美术指
90,organization,0,4,雅昌艺术网
90,name,6,8,张国辉
90,position,45,49,书画篆刻家
90,position,51,59,北京永昌美术馆馆长
90,position,61,71,民革中央画院教培部主任
91,organization,0,1,国米
91,organization,6,7,罗马
91,name,9,12,莫里尼奥
92,QQ,5,14,1607216798
92,QQ,21,29,840961635
92,mobile,33,51,8660677013851946102
92,position,90,98,另眼视界摄影视觉工
92,position,100,104,首席摄影师
92,name,105,106,胥坚
93,movie,30,38,《爱我你就抱抱我》
93,movie,40,48,《爸爸妈妈听我说》
93,movie,50,56,《嘚啵嘚啵嘚》
93,movie,58,64,《我有一个家》
93,position,68,74,儿童歌曲创作人
94,book,0,4,《华尔街》
94,book,5,12,《季羡林自选集》
94,book,13,22,《陈志武说中国经济》
94,book,27,33,《富豪俱乐部》
94,movie,34,42,《拆掉思维里的墙》
94,movie,43,50,《打捞中国愤青》
94,movie,51,56,《高盛阴谋》
94,movie,57,62,《麦家文集》
94,company,64,71,磨铁第二编辑中心
94,book,86,91,《麦家文集》
94,book,93,97,《华尔街》
95,movie,14,18,《官心病》
95,movie,19,22,《官赌》
95,movie,23,28,《机关男人》
95,movie,29,34,《小心女人》
95,movie,35,40,《政治生命》
95,movie,41,56,《孩子，爸爸其实不想和妈妈离婚》
95,movie,57,62,《百年关东》
95,movie,63,67,《派出所》
95,position,71,79,吉林省作家协会会员
96,organization,2,3,挪威
96,organization,6,7,荷兰
96,organization,26,27,荷兰
96,name,35,37,徐东华
96,position,48,49,主任
96,organization,86,88,巴勒莫
96,organization,91,93,雷吉纳
96,game,129,132,dota
96,game,178,183,《逍遥传说》
96,name,230,231,李乐
96,company,233,236,西南证券
96,position,237,239,董事长
96,name,248,250,陆慧明
96,organization,256,258,雷吉纳
96,organization,263,265,紫百合
97,name,6,8,洛丽塔
97,address,28,29,日本
99,position,4,7,特教教师
100,address,3,4,香港
100,position,12,13,记者
101,position,0,3,香港演員
101,position,5,7,基督徒
101,company,27,35,誠信娛樂發展有限公
101,name,37,39,陳小姐
101,mobile,40,51,852-25201186
101,mobile,53,64,852-92677102
101,position,88,91,香港演员
101,name,92,93,邓萃
102,company,2,3,暴雪
102,company,7,12,gomtv)
102,game,15,18,星际争霸
102,organization,26,34,kespa(el9
102,organization,36,49,mundodeportivo
103,book,2,14,《国外城市治理变革与经验》
103,book,19,28,《中小学生环境教育》
103,book,32,51,《青少年未来领袖ceo成长书系﹒创意商》
103,book,53,65,《北京精神北京故事连环画》
103,government,69,80,北京市市政市容管理委员会
103,government,81,88,固体废弃物管理处
103,position,89,91,副处长
104,organization,0,9,首届亚洲彩虹电视大奖
104,movie,25,28,≪墨仙≫
104,movie,30,35,≪倾世皇妃≫
104,movie,37,41,新≪三国≫
104,movie,43,48,新≪上海滩≫
104,movie,50,56,≪楚留香传奇≫
104,movie,58,64,≪大旗英雄传≫
104,movie,66,71,≪神雕侠侣≫
104,movie,74,77,《三国》
104,position,78,81,动作导演
105,game,17,23,欧美魔兽争霸3
105,name,31,33,贝蒂斯
105,organization,38,39,瓦伦
105,government,75,82,张家口崇礼县政府
105,position,83,85,副县长
105,name,86,88,于有斌
105,organization,89,96,住房公积金监管司
105,company,124,127,人民银行
105,name,140,141,胡蝶
105,name,145,147,阮玲玉
105,movie,166,170,《白云塔》
105,company,207,212,深圳发展银行
105,position,213,215,副行长
105,name,216,218,刘宝瑞
105,name,231,233,梁羽生
105,book,235,241,《草莽龙蛇传》
106,position,9,13,职业摄影师
106,position,36,44,中国摄影家协会会员
106,position,46,48,摄影师
106,name,49,51,王新霞
106,movie,57,62,《两小无猜》
107,position,67,71,邮票收藏家
108,government,67,74,天津公安南开分局
108,name,75,76,李浩
109,company,69,85,中铁四局集团一公司	新桥机场项目部
109,name,93,94,徐琦
110,position,2,9,投资理财实战专家
110,position,27,28,基金
110,position,29,33,首席研究员
110,position,46,53,邹涛投资法创始人
110,position,75,76,邹涛
110,position,77,82,投资法创始人
110,position,84,92,股市楼市实战型专家
110,company,94,101,新浪微公益爱心团
111,company,6,9,众知传媒
111,company,66,77,众知传媒（大连）有限公司
111,position,78,80,总经理
112,position,62,65,影视策划
112,position,67,71,执行制片人
112,position,73,76,导演协会
113,book,0,0,商
113,position,4,5,记者
113,name,6,8,崔吕萍
113,book,73,77,《后汉书》
113,organization,94,96,ief
113,government,100,105,国家体育总局
114,game,2,5,war3
114,position,21,24,职业选手
115,position,0,7,美域话剧团副团长
115,position,9,19,美域话剧团先农剧社社长
115,position,23,25,制作人
115,movie,32,32,＜
115,movie,33,40,＜男人如衣服＞＞
115,name,43,45,黄立行
115,movie,47,52,＜＜雷雨＞＞
115,name,55,57,周朴园
115,position,60,69,天津美域话剧团副团长
115,name,70,71,孙亮
116,position,0,5,国家一级演员
116,position,25,33,青年实验团艺术指导
116,position,49,54,省三八红旗手
116,position,56,65,兰州交通大学特聘教授
116,position,68,73,国家一级演员
117,government,0,4,陕西省政务
117,government,54,69,陕西渭南市公安局临渭分局网监大队
117,name,70,72,李汉东
118,name,82,83,赵涌
118,position,86,89,高级顾问
119,position,31,33,副主任
119,position,49,50,总编
119,position,59,62,架构总监
119,company,72,85,北京爱泰比邻科技有限责任公司
119,position,86,88,董事长
119,position,90,96,全经联副秘书长
120,position,55,56,作家
120,movie,64,69,《无爱承欢》
120,movie,70,74,《步步错》
120,movie,75,79,《遗爱记》
121,government,64,72,西藏丁青县人民法院
121,position,73,78,办公室书记员
121,name,79,80,周驰
122,organization,46,65,total动漫社totalacg.com
123,company,0,3,东仑传媒
123,company,8,22,北京中泰弘影视文化发展有限公司
123,position,23,25,董事长
123,position,31,32,经纪
123,name,34,35,小刚
123,mobile,39,49,18611447322
123,name,58,60,李先生
123,mobile,61,71,13822132835
123,position,73,74,演员
123,movie,75,78,《闪婚》
123,name,82,83,古丽
123,movie,85,91,《还珠格格1》
123,name,95,96,彩霞
124,scene,1,2,龙尾
125,game,12,18,《上古卷轴4》
125,government,43,56,住房和城乡建设部政策研究中心
125,position,57,59,副主任
125,name,60,62,王珏林
125,book,64,71,《每日经济新闻》
125,game,110,113,war3
125,game,118,121,dota
125,government,129,130,侦察
125,address,207,215,广州货币金融博物馆
126,mobile,42,52,13701393109
126,name,79,81,夏彬如
126,company,83,88,x摄影工作室
126,position,89,91,创办人
127,book,4,8,《最小说》
127,position,19,21,经纪人
127,company,52,63,上海最世文化发展有限公司
127,position,64,67,首席文编
128,position,8,9,作家
128,position,11,15,电视评论员
128,movie,19,22,《背后》
128,movie,23,29,《小艾向前冲》
128,movie,30,35,《灵魂之尘》
128,movie,36,43,《不纠结的情路》
128,movie,48,52,《小希望》
128,movie,54,57,《折腾》
128,position,63,64,作家
128,name,65,66,陈岚
128,book,71,74,《背后》
129,address,0,16,四川省阿坝州马尔康县松岗镇莫斯都村
129,address,17,21,扎西杨果寺
129,position,29,30,主持
129,position,31,32,活佛
129,address,42,43,马来
129,address,46,48,印尼文
129,address,54,56,尼泊尔
129,address,60,65,四川省阿坝州
129,address,66,67,扎西
129,name,80,83,格桑多杰
130,game,9,14,《逍遥传说》
131,position,11,15,精英模特大
131,organization,23,27,elite
132,company,67,72,云南圣灵集团
132,position,73,75,董事长
133,position,9,10,學生
133,position,12,14,足球員
133,position,18,19,模特
133,organization,24,29,香港理工大學
133,organization,32,33,理大
133,position,34,37,男足助教
133,name,39,41,董之英
133,position,69,77,香港飞马足球队球员
133,name,78,79,李灵
134,company,0,3,中国人寿
134,company,6,12,深圳市商业银行
134,company,14,19,广东发展银行
134,game,81,87,《阿尔法协议》
134,government,100,102,美军区
134,address,105,106,成都
134,position,110,112,营业员
134,government,124,127,锦江警方
134,company,147,150,忠清银行
134,company,159,162,宝林银行
134,company,170,177,安联保险股份公司
134,game,209,213,星际争霸2
134,address,215,216,韩国
135,position,11,12,队长
135,name,13,15,boa
135,game,21,26,《特种部队》
135,scene,40,45,北沙奇圣母庙
135,scene,56,61,阿贡火山巴厘
135,scene,77,80,阿贡母庙
135,scene,87,90,李白故里
135,scene,92,95,太白碑林
136,government,59,76,广东省佛山市公安局禅城分局永安派出所
136,position,81,84,永安警长
136,name,86,87,廖海
137,mobile,18,29,021-60767976
137,company,54,68,eju太立德仁公关广告传播集团
137,position,75,76,总经
138,position,2,3,导演
138,movie,7,12,《女人不坏》
138,position,20,21,导演
138,position,30,31,主演
138,name,37,38,周迅
138,scene,46,61,海豚岛moretonisland
139,position,0,4,电影摄影师
139,movie,7,14,《蔡李佛-宗师》
139,movie,15,20,《孤胆少年》
139,movie,21,26,《引狼入室》
139,movie,27,33,《饭团狂想曲》
139,movie,34,40,《荷花三娘子》
139,movie,41,44,《莲锁》
139,movie,45,48,《莲香》
139,position,67,69,摄影师
139,movie,74,81,《蔡李佛-宗师》
139,movie,82,88,《饭团狂想曲》
139,movie,89,94,《孤胆少年》
140,name,79,81,崔曼莉
140,position,83,84,作家
140,movie,88,91,《浮沉》
140,movie,92,97,《琉璃时代》
140,movie,98,104,《卡卡的信仰》
141,position,75,77,漫画家
141,name,78,79,培冬
141,book,85,101,《比利时olen国际漫画比赛画册》
141,book,103,121,《土耳其纳斯丁.霍渣国际漫画比赛画册》
142,company,0,12,北京悦宝汇汽车服务有限公司
142,position,13,15,总经理
142,position,17,25,红宝马俱乐部创始人
142,name,26,27,陈鹏
142,mobile,28,38,13681219888
142,company,51,63,北京悦宝汇汽车服务有限公司
142,position,64,66,总经理
142,position,73,75,创始人
142,name,76,77,陈鹏
143,position,0,1,尖端
143,position,2,4,漫畫家
143,movie,10,15,『有機男孩』
143,movie,17,21,『祈願花』
143,movie,23,28,『純愛視線』
143,movie,30,36,『愛戀舞色系』
143,movie,38,43,『偷心保鑣』
143,movie,46,51,'闇夜神話』
143,movie,57,64,醉後決定愛上你』
143,address,66,67,台湾
143,position,70,72,漫画家
143,name,73,75,米絲琳
143,movie,87,95,《醉后决定爱上你》
143,movie,96,101,《偷心保镖》
143,movie,102,107,《闇夜神话》
144,address,1,2,科隆
144,game,3,7,dota2
144,game,17,21,na'vi
145,game,7,9,星际2
146,position,0,4,tvb演員
146,position,95,100,香港tvb演
147,position,74,79,北京大学教授
148,address,11,16,西九龙中天地
148,game,43,45,drm
148,game,74,80,《模拟人生3》
148,scene,86,92,阿尔山国家森林
148,company,130,131,威廉
148,organization,147,149,ssp
148,game,178,186,《辐射：新维加斯》
148,book,200,213,《gameinformer》
148,address,214,220,四方桥公园地产
148,address,221,224,华瀚国际
148,company,244,253,中国光大银行沈阳分行
149,organization,12,18,复旦大学经济系
149,position,32,36,高级经济师
149,name,76,78,顾海波
150,organization,0,5,加拉塔萨雷队
150,organization,8,13,梅塔利斯特队
151,government,0,2,全经联
151,company,46,59,兴义市汇鑫房地产开发有限公司
151,position,60,66,营销中心总经理
152,government,0,1,央行
152,movie,21,27,《阳光小美女》
152,movie,30,33,《朱诺》
153,book,0,5,《三分墨影》
153,position,7,8,作者
153,organization,38,42,中央电视台
153,book,43,48,《今日说法》
153,book,71,76,《三分墨影》
153,position,77,78,作者
153,name,79,81,黄焕光
154,address,1,6,北京张家口籍
154,company,70,75,博雅营销机构
154,position,76,77,副总
155,name,58,59,西达
